=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.19 10:06:13 =~=~=~=~=~=~=~=~=~=~=~=
Setup: Serial port communication at 9600bps
t:12.00,Throttle:1824,Theta:1.11,theta_d:0.00,Error:-1.11
t:12.05,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:12.10,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:12.15,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:12.20,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:12.25,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:12.30,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:12.35,Throttle:1822,Theta:1.11,theta_d:0.00,Error:-1.11
t:12.40,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:12.45,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:12.50,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:12.55,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:12.60,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:12.65,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:12.70,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:12.75,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:12.80,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:12.85,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:12.90,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:12.95,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.00,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.05,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:13.10,Throttle:1834,Theta:0.17,theta_d:0.00,Error:-0.17
t:13.15,Throttle:1833,Theta:0.17,theta_d:0.00,Error:-0.17
t:13.20,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.25,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.30,Throttle:1819,Theta:1.30,theta_d:0.00,Error:-1.30
t:13.35,Throttle:1828,Theta:0.74,theta_d:0.00,Error:-0.74
t:13.40,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.45,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.50,Throttle:1824,Theta:0.92,theta_d:0.00,Error:-0.92
t:13.55,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.60,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.65,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.70,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:13.75,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:13.80,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:13.85,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:13.90,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:13.95,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.00,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.05,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.10,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:14.15,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:14.20,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.25,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.30,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.35,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.40,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.45,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.50,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.55,Throttle:1820,Theta:1.30,theta_d:0.00,Error:-1.30
t:14.60,Throttle:1833,Theta:0.36,theta_d:0.00,Error:-0.36
t:14.65,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:14.70,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:14.75,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:14.80,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:14.85,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:14.90,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:14.95,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:15.00,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:15.05,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:15.10,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:15.15,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:15.20,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:15.25,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:15.30,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:15.35,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:15.40,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:15.45,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:15.50,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:15.55,Throttle:1817,Theta:1.49,theta_d:0.00,Error:-1.49
t:15.60,Throttle:1831,Theta:0.55,theta_d:0.00,Error:-0.55
t:15.65,Throttle:1834,Theta:0.17,theta_d:0.00,Error:-0.17
t:15.70,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:15.75,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:15.80,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:15.85,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:15.90,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:15.95,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.00,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.05,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
t:16.10,Throttle:1830,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.15,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.20,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.25,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.30,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.35,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:16.40,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:16.45,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.50,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.55,Throttle:1829,Theta:0.55,theta_d:0.00,Error:-0.55
t:16.60,Throttle:1832,Theta:0.36,theta_d:0.00,Error:-0.36
t:16.65,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:16.70,Throttle:1831,Theta:0.36,theta_d:0.00,Error:-0.36
t:16.75,Throttle:1827,Theta:0.74,theta_d:0.00,Error:-0.74
