=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.06.27 17:16:13 =~=~=~=~=~=~=~=~=~=~=~=
St558,Theta:2.29,theta_d:-15.00,Error:-17.-17.10
t:13.55,Throttle:1690,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:13.60,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:13.65,Throttle:1686,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:13.70,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:13.75,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:13.80,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:13.85,Throttle:1691,Theta:-9.04,theta_d:-15.00,Error:-5.96
t:13.90,Throttle:1685,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:13.95,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.00,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.05,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.10,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.15,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.20,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.25,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.30,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.35,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.40,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.45,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.50,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.55,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.60,Throttle:1682,Theta:-8.28,theta_d:-15.00,Error:-6.72
t:14.65,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.70,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.75,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.80,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.85,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.90,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:14.95,Throttle:1689,Theta:-8.85,theta_d:-15.00,Error:-6.15
t:15.00,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.05,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.10,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.15,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.20,Throttle:1686,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:15.25,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.30,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.35,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.40,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.45,Throttle:1686,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:15.50,Throttle:1686,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:15.55,Throttle:1688,Theta:-8.85,theta_d:-15.00,Error:-6.15
t:15.60,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.65,Throttle:1686,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:15.70,Throttle:1681,Theta:-8.28,theta_d:-15.00,Error:-6.72
t:15.75,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.80,Throttle:1686,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:15.85,Throttle:1688,Theta:-8.85,theta_d:-15.00,Error:-6.15
t:15.90,Throttle:1683,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:15.95,Throttle:1686,Theta:-8.66,theta_d:-15.00,Error:-6.34
t:16.00,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:16.05,Throttle:1684,Theta:-8.47,theta_d:-15.00,Error:-6.53
t:16.10,Throttle:1700,Theta:-9.79,theta_d:-15.00,Error:-5.21
t:16.15,Throttle:1739,Theta:-13.57,theta_d:-15.00,Error:-1.43
t:16.20,Throttle:1762,Theta:-16.59,theta_d:-15.00,Error:1.59
t:16.25,Throttle:1844,Theta:-26.59,theta_d:-15.00,Error:11.59
